model,max_depth,min_samples_leaf,min_samples_split,criterion,class_weight,random_state,cv_f1_macro_mean,cv_f1_macro_std,n_estimators
RandomForest,,2,,entropy,balanced,42,0.8421509502494222,0.03102347710025986,100.0
DecisionTree,5.0,1,2.0,gini,,42,0.8421281322005381,0.05153323153920182,
DecisionTree,5.0,1,2.0,gini,balanced,42,0.8421281322005381,0.05153323153920182,
DecisionTree,5.0,1,10.0,gini,,42,0.841761981168354,0.050844972357723325,
DecisionTree,5.0,1,10.0,gini,balanced,42,0.841761981168354,0.050844972357723325,
DecisionTree,5.0,1,10.0,entropy,,42,0.8415883127009289,0.05497132532566731,
DecisionTree,5.0,1,10.0,entropy,balanced,42,0.8415883127009289,0.05497132532566731,
DecisionTree,5.0,2,10.0,entropy,,42,0.8415883127009289,0.05497132532566731,
DecisionTree,5.0,2,10.0,entropy,balanced,42,0.8415883127009289,0.05497132532566731,
DecisionTree,5.0,2,6.0,entropy,,42,0.8413805836028425,0.051370614841160483,
DecisionTree,5.0,2,6.0,entropy,balanced,42,0.8413805836028425,0.051370614841160483,
RandomForest,6.0,5,,gini,,42,0.8410875420174465,0.04044306144946176,300.0
RandomForest,6.0,5,,gini,balanced,42,0.8410875420174465,0.04044306144946176,300.0
RandomForest,4.0,5,,gini,,42,0.8410648567935229,0.03642625157882636,200.0
RandomForest,4.0,5,,gini,balanced,42,0.8410648567935229,0.03642625157882636,200.0
RandomForest,5.0,3,,entropy,,42,0.841020470727465,0.037569888066054005,300.0
RandomForest,5.0,3,,entropy,balanced,42,0.841020470727465,0.037569888066054005,300.0
RandomForest,4.0,2,,entropy,,42,0.8409977855035414,0.03433257002125225,200.0
RandomForest,4.0,2,,entropy,balanced,42,0.8409977855035414,0.03433257002125225,200.0
DecisionTree,5.0,2,10.0,gini,,42,0.8409466277924696,0.06170681939991739,
DecisionTree,5.0,2,10.0,gini,balanced,42,0.8409466277924696,0.06170681939991739,
RandomForest,5.0,5,,entropy,,42,0.8409117647364062,0.037589392716948056,200.0
RandomForest,5.0,5,,entropy,balanced,42,0.8409117647364062,0.037589392716948056,200.0
RandomForest,6.0,3,,entropy,,42,0.8408211886551179,0.03666036395139073,200.0
RandomForest,6.0,3,,entropy,balanced,42,0.8408211886551179,0.03666036395139073,200.0
RandomForest,5.0,5,,gini,,42,0.8408052965339626,0.036287608683693996,200.0
RandomForest,5.0,5,,gini,balanced,42,0.8408052965339626,0.036287608683693996,200.0
RandomForest,4.0,5,,entropy,,42,0.8407412536680621,0.03449434246652131,100.0
RandomForest,4.0,5,,entropy,balanced,42,0.8407412536680621,0.03449434246652131,100.0
RandomForest,5.0,2,,gini,,42,0.8405477523535299,0.029476687885407894,100.0
RandomForest,5.0,2,,gini,balanced,42,0.8405477523535299,0.029476687885407894,100.0
RandomForest,5.0,1,,gini,,42,0.8405471992375269,0.02636845969994022,300.0
RandomForest,5.0,1,,gini,balanced,42,0.8405471992375269,0.02636845969994022,300.0
RandomForest,4.0,1,,gini,,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,4.0,1,,gini,balanced,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,5.0,3,,gini,,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,5.0,3,,gini,balanced,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,6.0,3,,gini,,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,6.0,3,,gini,balanced,42,0.8404299808567893,0.03425577294799979,200.0
RandomForest,4.0,1,,entropy,,42,0.8404299808567893,0.03425577294799979,300.0
RandomForest,4.0,1,,entropy,balanced,42,0.8404299808567893,0.03425577294799979,300.0
RandomForest,,3,,entropy,,42,0.8404275349719906,0.034579967789974485,100.0
RandomForest,,3,,entropy,balanced,42,0.8404275349719906,0.034579967789974485,100.0
DecisionTree,5.0,3,10.0,gini,,42,0.8403881924498476,0.05578848088626777,
DecisionTree,5.0,3,10.0,gini,balanced,42,0.8403881924498476,0.05578848088626777,
ExtraTrees,6.0,2,,entropy,,42,0.8403514636653003,0.04319110760744325,100.0
ExtraTrees,6.0,2,,entropy,balanced,42,0.8403514636653003,0.04319110760744325,100.0
RandomForest,,2,,gini,,42,0.8403010729709559,0.029076143599775162,200.0
RandomForest,,2,,gini,balanced,42,0.8403010729709559,0.029076143599775162,200.0
RandomForest,6.0,3,,gini,,42,0.8402664079687583,0.034293749138845905,100.0
RandomForest,6.0,3,,gini,balanced,42,0.8402664079687583,0.034293749138845905,100.0
DecisionTree,5.0,1,4.0,entropy,,42,0.8402231246019947,0.05217983434818144,
DecisionTree,5.0,1,4.0,entropy,balanced,42,0.8402231246019947,0.05217983434818144,
RandomForest,5.0,1,,entropy,,42,0.8402083838175669,0.034513314079571866,300.0
RandomForest,5.0,1,,entropy,balanced,42,0.8402083838175669,0.034513314079571866,300.0
RandomForest,5.0,1,,entropy,,42,0.8401541507757176,0.031998867152090035,200.0
RandomForest,5.0,1,,entropy,balanced,42,0.8401541507757176,0.031998867152090035,200.0
RandomForest,5.0,2,,gini,,42,0.8401530653411958,0.026933122308042415,300.0
RandomForest,5.0,2,,gini,balanced,42,0.8401530653411958,0.026933122308042415,300.0
DecisionTree,5.0,1,2.0,entropy,,42,0.8401306703691729,0.039642797386728636,
DecisionTree,5.0,1,2.0,entropy,balanced,42,0.8401306703691729,0.039642797386728636,
DecisionTree,5.0,1,6.0,gini,,42,0.839086046828333,0.04500515145626203,
DecisionTree,5.0,1,6.0,gini,balanced,42,0.839086046828333,0.04500515145626203,
DecisionTree,5.0,1,6.0,entropy,,42,0.8386578188212542,0.054040887792179956,
DecisionTree,5.0,1,6.0,entropy,balanced,42,0.8386578188212542,0.054040887792179956,
DecisionTree,5.0,3,2.0,entropy,,42,0.8385976257369924,0.03991107760579603,
DecisionTree,5.0,3,2.0,entropy,balanced,42,0.8385976257369924,0.03991107760579603,
DecisionTree,5.0,3,4.0,entropy,,42,0.8385976257369924,0.03991107760579603,
DecisionTree,5.0,3,4.0,entropy,balanced,42,0.8385976257369924,0.03991107760579603,
DecisionTree,5.0,3,6.0,entropy,,42,0.8385976257369924,0.03991107760579603,
DecisionTree,5.0,3,6.0,entropy,balanced,42,0.8385976257369924,0.03991107760579603,
RandomForest,5.0,5,,entropy,,42,0.8383295208383726,0.043316413056560255,300.0
RandomForest,5.0,5,,entropy,balanced,42,0.8383295208383726,0.043316413056560255,300.0
RandomForest,4.0,3,,gini,,42,0.8382230094005919,0.02952596945317995,100.0
RandomForest,4.0,3,,gini,balanced,42,0.8382230094005919,0.02952596945317995,100.0
RandomForest,4.0,2,,entropy,,42,0.8381940868639294,0.032040907750996224,100.0
RandomForest,4.0,2,,entropy,balanced,42,0.8381940868639294,0.032040907750996224,100.0
RandomForest,6.0,5,,gini,,42,0.838167030737802,0.038411553157564164,200.0
RandomForest,6.0,5,,gini,balanced,42,0.838167030737802,0.038411553157564164,200.0
RandomForest,5.0,5,,gini,,42,0.838157912307631,0.03840643322203412,300.0
RandomForest,5.0,5,,gini,balanced,42,0.838157912307631,0.03840643322203412,300.0
RandomForest,6.0,5,,entropy,,42,0.8381339869586283,0.03850317170944717,300.0
RandomForest,6.0,5,,entropy,balanced,42,0.8381339869586283,0.03850317170944717,300.0
